q1,q2,q3,q4,q5,x,y,z,1
0.0,1.3380857598623195,2.443460952792061,3.141592653589793,6.283185307179586,9.328,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,0.0,0.0,-10.545,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,0.0,2.0943951023931953,5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,0.0,4.1887902047863905,5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,0.0,6.283185307179586,-10.545,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,1.0471975511965976,0.0,-5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,1.0471975511965976,2.0943951023931953,2.636,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,1.0471975511965976,4.1887902047863905,2.636,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,1.0471975511965976,6.283185307179586,-5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,2.0943951023931953,0.0,5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,2.0943951023931953,2.0943951023931953,-2.636,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,2.0943951023931953,4.1887902047863905,-2.636,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,2.0943951023931953,6.283185307179586,5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,3.141592653589793,0.0,10.545,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,3.141592653589793,2.0943951023931953,-5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,3.141592653589793,4.1887902047863905,-5.273,0.0,0.0,0.0
0.0,1.3380857598623195,3.6651914291880923,3.141592653589793,6.283185307179586,10.545,0.0,0.0,0.0
0.0,2.676171519724639,0.0,0.0,0.0,-47.184,0.0,0.0,0.0
0.0,2.676171519724639,0.0,0.0,2.0943951023931953,23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,0.0,4.1887902047863905,23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,0.0,6.283185307179586,-47.184,0.0,0.0,0.0
0.0,2.676171519724639,0.0,1.0471975511965976,0.0,-23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,1.0471975511965976,2.0943951023931953,11.796,0.0,0.0,0.0
0.0,2.676171519724639,0.0,1.0471975511965976,4.1887902047863905,11.796,0.0,0.0,0.0
0.0,2.676171519724639,0.0,1.0471975511965976,6.283185307179586,-23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,2.0943951023931953,0.0,23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,2.0943951023931953,2.0943951023931953,-11.796,0.0,0.0,0.0
0.0,2.676171519724639,0.0,2.0943951023931953,4.1887902047863905,-11.796,0.0,0.0,0.0
0.0,2.676171519724639,0.0,2.0943951023931953,6.283185307179586,23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,3.141592653589793,0.0,47.184,0.0,0.0,0.0
0.0,2.676171519724639,0.0,3.141592653589793,2.0943951023931953,-23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,3.141592653589793,4.1887902047863905,-23.592,0.0,0.0,0.0
0.0,2.676171519724639,0.0,3.141592653589793,6.283185307179586,47.184,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,0.0,0.0,-16.138,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,0.0,2.0943951023931953,8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,0.0,4.1887902047863905,8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,0.0,6.283185307179586,-16.138,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,1.0471975511965976,0.0,-8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,1.0471975511965976,2.0943951023931953,4.034,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,1.0471975511965976,4.1887902047863905,4.034,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,1.0471975511965976,6.283185307179586,-8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,2.0943951023931953,0.0,8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,2.0943951023931953,2.0943951023931953,-4.034,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,2.0943951023931953,4.1887902047863905,-4.034,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,2.0943951023931953,6.283185307179586,8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,3.141592653589793,0.0,16.138,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,3.141592653589793,2.0943951023931953,-8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,3.141592653589793,4.1887902047863905,-8.069,0.0,0.0,0.0
0.0,2.676171519724639,1.2217304763960306,3.141592653589793,6.283185307179586,16.138,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,0.0,0.0,36.145,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,0.0,2.0943951023931953,-18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,0.0,4.1887902047863905,-18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,0.0,6.283185307179586,36.145,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,1.0471975511965976,0.0,18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,1.0471975511965976,2.0943951023931953,-9.036,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,1.0471975511965976,4.1887902047863905,-9.036,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,1.0471975511965976,6.283185307179586,18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,2.0943951023931953,0.0,-18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,2.0943951023931953,2.0943951023931953,9.036,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,2.0943951023931953,4.1887902047863905,9.036,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,2.0943951023931953,6.283185307179586,-18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,3.141592653589793,0.0,-36.145,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,3.141592653589793,2.0943951023931953,18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,3.141592653589793,4.1887902047863905,18.072,0.0,0.0,0.0
0.0,2.676171519724639,2.443460952792061,3.141592653589793,6.283185307179586,-36.145,0.0,0.0,0.0
